time,vt,vts,a,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,distance,vt_,s_,diff_s
2021/12/16 1:15,6,1.666666667,-0.277777777,-0.511729432,0.293481703,-9.7287725,-0.000623122,0.00364927,0.002655811,393.4911147,-34.83665665,-57.62085774,32.85134693,318.0555556,1.379696502,326.2154842,0.974986078
2021/12/16 1:16,4,1.111111111,-0.555555556,-0.191927697,0.309541424,-9.719150667,-0.000998879,0.003773258,0.001487515,391.4666645,1.455777545,-99.61878121,32.86415708,319.1666667,1.187768805,327.403253,0.974842686
2021/12/16 1:16,3,0.833333333,-0.277777778,-0.17738558,0.305803938,-9.722466704,-0.001165642,0.003733617,0.000822222,389.4422142,12.97903572,-124.4140962,32.87305004,320,1.010383225,328.4136363,0.974380978
2021/12/16 1:16,2,0.555555556,-0.277777777,-0.241075864,0.304770939,-9.717674318,-0.00095447,0.003759818,4.03E-05,387.417764,13.17501114,-127.3470584,32.87871974,320.5555556,0.769307361,329.1829436,0.97379151
2021/12/16 1:16,1,0.277777778,-0.277777778,-0.236810099,0.298831887,-9.732646986,-0.000963437,0.003603507,-0.00058638,361.7162403,3.563041986,-131.7059283,32.88832024,320.8333333,0.532497262,329.7154409,0.973061293
2021/12/16 1:16,1,0.277777778,0,-0.176628712,0.311803513,-9.722584988,-0.0009466,0.003802512,-0.001364113,351.920406,-3.462446788,-133.6264385,32.90596574,321.1111111,0.35586855,330.0713094,0.97285375
2021/12/16 1:16,0,0,-0.277777778,-0.002707427,0.304694853,-9.735395853,-0.00079896,0.003735493,-0.00152268,351.5494621,-3.376821333,-134.3881543,32.92035728,0,,,
2021/12/16 1:16,0,0,0,-0.001203972,0.307014306,-9.720323542,-0.001064264,0.003813597,-0.001623028,351.8095864,-4.526736708,-133.7146513,32.91587881,0,,,
2021/12/16 1:16,0,0,0,-0.004504645,0.309118013,-9.728375671,-0.000972579,0.003798461,-0.001555697,350.3305725,-3.922596,-134.6851403,32.93684041,0,,,
2021/12/16 1:16,0,0,0,-0.003238153,0.300684569,-9.721200917,-0.001007569,0.003605264,-0.001614361,350.9249166,-4.049568889,-134.5273834,32.94539101,0,,,
2021/12/16 1:16,0,0,0,-0.003902228,0.309699,-9.733061063,-0.000807316,0.003703468,-0.001472063,350.675162,-2.877561266,-132.6683365,32.96422318,0,,,
2021/12/16 1:16,0,0,0,-0.004359056,0.295857722,-9.729977167,-0.001164167,0.003804931,-0.001526819,350.0019807,-1.929438833,-132.3942243,32.97019367,0,,,
2021/12/16 1:16,0,0,0,-0.002452615,0.317476218,-9.723977987,-0.000903397,0.003772654,-0.001530385,352.0135243,-0.462432218,-131.9898133,32.97600669,0,,,
2021/12/16 1:16,0,0,0,-0.002814384,0.31703074,-9.726305096,-0.00096411,0.003620219,-0.001545315,349.7907221,0.035293575,-132.0309919,32.98890348,0,,,
2021/12/16 1:16,0,0,0,-0.001647465,0.308731099,-9.713786268,-0.000762197,0.003721085,-0.001499113,351.0494205,1.473910634,-130.2309527,32.9890528,0,,,
2021/12/16 1:16,0,0,0,-0.003757778,0.317278508,-9.727253492,-0.000980381,0.003757286,-0.001555492,350.4789695,3.310269556,-129.145877,32.99786332,0,,,
2021/12/16 1:16,0,0,0,-0.003057594,0.308011703,-9.724530391,-0.001047719,0.003801109,-0.001631688,350.1602888,6.41164625,-128.2965207,32.99957672,0,,,
2021/12/16 1:16,0,0,0,-0.002321113,0.307776803,-9.729068479,-0.000819634,0.003797352,-0.001511592,349.7438208,6.950893028,-128.9899382,32.99549359,0,,,
2021/12/16 1:16,0,0,0,-0.001029667,0.314604773,-9.731442379,-0.001036409,0.003794803,-0.001607485,350.6178871,8.143419788,-127.7084686,33.00507735,0,,,
2021/12/16 1:16,0,0,0,-0.002841726,0.311314589,-9.726114219,-0.001013918,0.003780849,-0.001599986,350.5021111,9.876411986,-127.2077938,33.01440927,0,,,
2021/12/16 1:16,0,0,0,-0.001495853,0.316598053,-9.720346613,-0.00084156,0.00371772,-0.00161036,349.6936332,15.82997701,-123.9563624,33.01632975,0,,,
