time,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,speed_r,distance_r,ac_r,diff_ac,diff_ax,diff_ay,diff_az,diff_gx,diff_gy,diff_gz
20:52:10,-0.151526515,0.847755424,-9.766239848,-0.000712667,0.006772197,-0.005477288,76.75420761,-48.46194953,243.2857497,31.30971942,16.66666667,381.6666667,0,0,0.037088238,0.002965314,0.04552271,0.008148175,-0.00020572,0.000596057
20:52:11,-0.114438277,0.850720738,-9.720717138,0.007435508,0.006566477,-0.004881231,63.1721968,-15.75506437,248.5630652,31.33282817,16.66666667,398.3333333,0,0,0.051145409,-0.057945576,-0.010950583,0.002139801,-0.001178918,0.00256076
20:52:12,-0.063292868,0.792775162,-9.731667721,0.009575309,0.005387559,-0.002320471,60.55163728,102.3918256,181.491478,31.33280046,16.66666667,415,0,0,0.093383181,-0.056295401,0.00151793,-0.002686906,-0.002434305,0.001812546
20:52:13,0.030090313,0.736479761,-9.730149791,0.006888403,0.002953254,-0.000507925,39.20017725,381.5093606,198.8079034,31.34159373,16.66666667,431.6666667,0,0.277777778,-0.020317356,0.049318968,0.046175148,-0.003034003,-0.000151968,0.000168282
20:52:14,0.009772957,0.785798729,-9.683974643,0.0038544,0.002801286,-0.000339643,48.44237353,485.6068673,164.7829252,31.35599096,16.94444444,448.6111111,0.277777778,-0.555555556,-0.023890028,-0.008190158,-0.019867614,-0.003654914,-3.5572E-05,-0.000531414
20:52:15,-0.014117071,0.777608571,-9.703842257,0.000199486,0.002765714,-0.000871057,56.88402833,538.57916,109.951765,31.36408766,16.66666667,465.2777778,-0.277777778,0.277777778,-0.012480429,-0.057663196,-0.020638285,-0.000115786,0.000087022,0.000933857
20:52:16,-0.0265975,0.719945375,-9.724480542,8.37E-05,0.002852736,6.28E-05,40.44904563,553.4094835,84.15136393,31.37677531,16.66666667,481.9444444,0,0,-0.104806654,-0.034217098,-0.007043196,0.004567115,0.000109618,-0.000958831
20:52:17,-0.131404154,0.685728277,-9.731523738,0.004650815,0.002962354,-0.000896031,53.21495049,322.6072735,146.7042073,31.40261158,16.66666667,498.6111111,0,0,-0.01113036,0.078101196,0.022460562,-0.001279274,-0.000064368,0.000360545
20:52:18,-0.142534514,0.763829473,-9.709063176,0.003371541,0.002897986,-0.000535486,47.64925458,139.7043899,161.3748372,31.40304051,16.66666667,515.2777778,0,0,0.072595035,0.014224795,0.004060542,-0.002423682,-2.9972E-05,0.000459286
20:52:19,-0.069939479,0.778054268,-9.705002634,0.000947859,0.002868014,-7.62E-05,49.71379724,500.5522251,90.56982611,31.40137392,16.66666667,531.9444444,0,0,0.000422244,-0.071895812,-0.006277675,7.0112E-05,-2.4735E-05,-0.000599476
