x,y
19.16666667,15.19974536
19.16666667,15.10929064
19.16666667,15.02037129
19.16666667,14.92111388
19.16666667,14.82446332
19.16666667,14.71039571
19.16666667,14.59665083
19.16666667,14.46178499
19.16666667,14.31367079
18.88888889,14.13360657
18.88888889,13.93036787
18.88888889,13.7125618
18.61111111,13.61732659
18.61111111,13.62770327
18.61111111,13.7078711
18.61111111,13.83092963
18.61111111,13.98657043
18.61111111,13.9645047
18.61111111,13.78048117
18.05555556,13.46591064
17.5,13.18935817
16.94444444,12.88266473
16.38888889,12.46682424
16.11111111,12.20621534
15.55555556,12.00100066
15,11.74322203
14.44444444,11.42135735
13.88888889,11.03983583
13.33333333,10.63105381
12.77777778,10.23003539
11.94444444,9.874286929
11.38888889,9.534000903
10.83333333,9.171781614
10.55555556,8.76318003
9.722222222,8.320441636
9.166666667,7.848387521
8.611111111,7.347017685
8.055555556,6.813382488
7.5,6.254174159
6.944444444,5.675787454
6.111111111,5.076911483
5.555555556,4.463544328
5,3.845717404
4.444444444,3.22667372
3.888888889,2.603553619
3.333333333,1.98456819
2.777777778,1.377800101
2.222222222,0.784461235
1.666666667,0.21194529
1.111111111,0.190561551
0.833333333,0.483584894
0.555555556,0.751814153
0.277777778,0.896465394
0.277777778,0.917538616
0.277777778,1.235893701
0.277777778,1.310367454
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.277777778,0.440654903
0.833333333,1.084547378
1.388888889,2.125613131
2.5,3.180524874
3.611111111,4.251864677
5,5.326504501
6.111111111,6.398938852
7.222222222,7.469264359
8.333333333,8.533135359
9.444444444,9.583775897
10.55555556,10.63453267
11.66666667,11.6868553
12.5,12.73242126
13.61111111,13.64476733
14.44444444,14.26336764
15.27777778,14.60195684
15.55555556,14.75575437
15.83333333,14.72052446
15.83333333,14.70495588
15.83333333,14.69576158
15.83333333,14.70502913
15.83333333,14.96886479
16.11111111,15.5480783
16.66666667,16.01621708
17.5,16.36230842
17.77777778,16.65389935
18.33333333,16.89363648
18.88888889,17.05844586
19.16666667,17.11671348
19.44444444,17.0290385
19.44444444,16.90773063
19.44444444,16.76517625
19.44444444,16.60459938
19.44444444,16.39476149
19.44444444,16.13251443
19.44444444,15.88808311
19.16666667,15.64870714
19.16666667,15.47216593
19.16666667,15.42926081
19.16666667,15.45280001
19.16666667,15.52200163
19.44444444,15.61684345
19.16666667,15.47542027
19.16666667,15.30351175
18.88888889,14.93062671
18.33333333,14.55345356
17.77777778,14.08430218
17.22222222,13.52586805
16.94444444,12.971194
15.83333333,12.58592889
15.55555556,12.23912529
14.72222222,11.83643838
14.16666667,11.37749023
13.61111111,10.86851208
13.05555556,10.38405839
12.5,9.928576454
11.94444444,9.462427481
11.38888889,9.011347278
10.83333333,8.567777411
10.27777778,8.102406941
9.722222222,7.60356764
9.166666667,7.057644795
8.611111111,6.496096835
7.777777778,5.916349189
7.5,5.312481696
6.666666667,4.694096203
6.388888889,4.066802915
5.833333333,3.441812843
5,2.819125988
4.444444444,2.195501973
3.888888889,1.572581147
3.333333333,0.967191018
2.777777778,0.354511799
2.222222222,0.240630656
1.666666667,0.777769137
1.111111111,1.056421871
0.833333333,1.328116096
0.555555556,1.571396452
0.277777778,1.602299663
0.277777778,1.948222649
0.277777778,1.981768827
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.555555556,0.632393685
1.111111111,1.660731584
2.222222222,2.716066569
3.333333333,3.785638938
4.444444444,4.859459188
5.555555556,5.933498976
6.666666667,7.002053565
7.5,8.067727634
8.611111111,9.117348775
9.722222222,10.17601014
10.83333333,11.23029801
11.94444444,12.27968352
13.05555556,13.19340168
14.16666667,13.83863706
15,14.20666709
15.55555556,14.39030314
15.83333333,14.3819084
15.83333333,14.34913719
15.83333333,14.32787951
15.83333333,14.31511412
15.83333333,14.52155469
16.11111111,15.10662226
16.66666667,15.55568819
17.22222222,15.8687525
17.77777778,15.92979667
18.05555556,15.83435881
18.05555556,15.74303272
18.33333333,15.54063608
18.33333333,15.21580612
18.05555556,14.96218613
18.05555556,14.80025938
18.05555556,14.62061943
18.05555556,14.44767036
18.33333333,14.25482568
18.33333333,13.997946
18.05555556,13.81727477
18.05555556,13.65914837
18.05555556,13.52864658
18.05555556,13.43132131
18.05555556,13.33346813
18.05555556,13.23508704
18.05555556,13.13716275
17.77777778,13.04087256
17.77777778,12.94601309
17.77777778,12.84428921
17.77777778,12.74922125
17.77777778,12.65321173
17.77777778,12.55649231
17.5,12.45825366
17.5,12.36819852
17.5,12.27693967
17.5,12.1884029
17.5,12.10160465
17.5,12.0115572
17.22222222,11.92445304
17.22222222,11.83296329
17.22222222,11.74249884
17.22222222,11.657304
17.22222222,11.56556841
17.22222222,11.47173328
16.94444444,11.37589068
16.94444444,11.26047142
16.94444444,11.14157945
16.94444444,11.00959384
16.94444444,10.85536405
16.66666667,10.67682021
16.66666667,10.48378593
16.38888889,10.57575206
16.38888889,10.88662186
16.94444444,11.18938682
17.22222222,11.4608514
17.22222222,11.71851514
17.5,11.96769924
17.5,12.2084037
17.77777778,12.47844765
17.77777778,12.79530039
18.05555556,13.12363512
18.05555556,13.4460227
18.05555556,13.75700306
18.33333333,14.06281309
18.33333333,14.38131251
18.33333333,14.71002381
18.61111111,15.05552268
18.61111111,15.42037521
18.88888889,15.81013175
18.88888889,16.1968169
19.16666667,16.55447814
19.16666667,16.82805495
19.44444444,17.0032234
19.44444444,17.08576416
19.44444444,17.07567722
19.44444444,17.03805794
19.44444444,17.0090649
19.44444444,16.92779911
19.44444444,16.81863122
19.44444444,16.32608928
18.88888889,15.80922793
18.33333333,15.34552585
18.05555556,14.85395603
17.5,14.3309865
16.94444444,13.76700734
16.38888889,13.20908813
15.83333333,12.65255151
15.27777778,12.10208707
14.72222222,11.53496023
14.16666667,10.97184559
13.61111111,10.37569716
13.05555556,9.75834727
12.5,9.129558081
11.94444444,8.513338344
11.38888889,7.903517576
10.83333333,7.301609914
10.27777778,6.707200752
9.722222222,6.1024776
9.166666667,5.502522614
8.611111111,4.902265375
8.055555556,4.301617744
7.5,3.700855987
6.944444444,3.09557073
6.388888889,2.491119573
5.833333333,1.895202726
5.277777778,1.308355587
4.722222222,0.71586976
4.166666667,0.112152584
3.333333333,0.491959444
3.055555556,1.085045036
2.5,1.662427009
1.944444444,2.215453544
1.388888889,2.598870401
0.833333333,2.832618477
0.833333333,3.070406839
0.555555556,3.29149354
0.277777778,3.530223485
0.277777778,3.714692458
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.277777778,0.449781684
0.833333333,1.42737537
1.666666667,2.479222546
2.777777778,3.541333122
3.888888889,4.621441291
5,5.6975282
6.111111111,6.771296994
7.5,7.840958132
8.333333333,8.890141391
9.444444444,9.95571958
10.55555556,11.01758423
11.66666667,12.07915546
12.77777778,13.07827765
13.88888889,13.83768655
14.72222222,14.35811466
15.27777778,14.64463876
15.83333333,14.77596015
16.11111111,14.73683608
16.11111111,14.68235926
16.11111111,14.63999426
16.11111111,14.69274718
16.11111111,15.08514302
16.38888889,15.53355509
16.94444444,15.90567936
17.5,16.24170594
17.77777778,16.52654663
18.33333333,16.78840111
18.61111111,17.001542
18.88888889,17.14788004
19.16666667,17.20156072
19.44444444,17.10141029
19.44444444,17.00669919
19.44444444,16.91621775
19.44444444,16.82684354
19.44444444,16.74112204
19.44444444,16.63640636
19.44444444,16.5516431
19.44444444,16.46470225
19.44444444,16.3755838
19.44444444,16.28299154
19.44444444,16.19096031
19.44444444,16.09786082
